arrival_date,state,district,market,commodity,modal_price
2026-03-12,Uttar Pradesh,Lucknow,Lucknow APMC,Maize,2000.0
2026-04-12,Uttar Pradesh,Lucknow,Lucknow APMC,Maize,9800.0
2026-04-13,Uttar Pradesh,Lucknow,Lucknow APMC,Maize,9132.5
2026-04-15,Uttar Pradesh,Lucknow,Lucknow APMC,Maize,7400.0
2026-04-25,Uttar Pradesh,Lucknow,Lucknow APMC,Maize,9700.0
2026-04-29,Uttar Pradesh,Lucknow,Lucknow APMC,Maize,7877.3
2026-04-30,Uttar Pradesh,Lucknow,Lucknow APMC,Maize,2000.0
2026-05-26,Uttar Pradesh,Lucknow,Lucknow APMC,Maize,8348.38
2026-05-29,Uttar Pradesh,Lucknow,Lucknow APMC,Maize,9900.0
2026-05-30,Uttar Pradesh,Lucknow,Lucknow APMC,Maize,9940.0
2026-06-10,Uttar Pradesh,Lucknow,Lucknow APMC,Maize,9940.0
2026-06-11,Uttar Pradesh,Lucknow,Lucknow APMC,Maize,2000.0
2026-06-12,Uttar Pradesh,Lucknow,Lucknow APMC,Maize,2000.0
2026-06-26,Uttar Pradesh,Lucknow,Lucknow APMC,Maize,10000.0
2026-06-27,Uttar Pradesh,Lucknow,Lucknow APMC,Maize,2000.0
2026-06-29,Uttar Pradesh,Lucknow,Lucknow APMC,Maize,8322.86
2026-07-11,Uttar Pradesh,Lucknow,Lucknow APMC,Maize,7600.8
2026-07-14,Uttar Pradesh,Lucknow,Lucknow APMC,Maize,9151.52
2026-07-31,Uttar Pradesh,Lucknow,Lucknow APMC,Maize,8703.35
2026-08-19,Uttar Pradesh,Lucknow,Lucknow APMC,Maize,8669.6
2026-08-23,Uttar Pradesh,Lucknow,Lucknow APMC,Maize,8740.41
