arrival_date,state,district,market,commodity,modal_price,precipitation_sum,temperature_2m_max
2026-03-10,Uttar Pradesh,Lucknow,Lucknow APMC,Mustard,5100.0,0.0,25.0
2026-03-11,Uttar Pradesh,Lucknow,Lucknow APMC,Mustard,5100.0,0.0,25.0
2026-03-12,Uttar Pradesh,Lucknow,Lucknow APMC,Mustard,5100.0,0.0,25.0
2026-03-14,Uttar Pradesh,Lucknow,Lucknow APMC,Mustard,5500.0,0.0,25.0
2026-03-15,Uttar Pradesh,Lucknow,Lucknow APMC,Mustard,5100.0,0.0,25.0
2026-03-17,Uttar Pradesh,Lucknow,Lucknow APMC,Mustard,5106.02,0.0,25.0
2026-03-18,Uttar Pradesh,Lucknow,Lucknow APMC,Mustard,5100.0,0.0,25.0
2026-03-19,Uttar Pradesh,Lucknow,Lucknow APMC,Mustard,5983.96,0.0,25.0
2026-03-20,Uttar Pradesh,Lucknow,Lucknow APMC,Mustard,5100.0,0.0,25.0
2026-03-21,Uttar Pradesh,Lucknow,Lucknow APMC,Mustard,10205.56,0.0,25.0
2026-03-23,Uttar Pradesh,Lucknow,Lucknow APMC,Mustard,5679.02,0.0,25.0
2026-03-24,Uttar Pradesh,Lucknow,Lucknow APMC,Mustard,5623.55,0.0,25.0
2026-03-25,Uttar Pradesh,Lucknow,Lucknow APMC,Mustard,8000.0,0.0,25.0
2026-03-27,Uttar Pradesh,Lucknow,Lucknow APMC,Mustard,6000.0,0.0,25.0
2026-03-28,Uttar Pradesh,Lucknow,Lucknow APMC,Mustard,6427.68,0.0,25.0
2026-03-29,Uttar Pradesh,Lucknow,Lucknow APMC,Mustard,5600.0,0.0,25.0
2026-03-30,Uttar Pradesh,Lucknow,Lucknow APMC,Mustard,5220.74,0.0,25.0
2026-03-31,Uttar Pradesh,Lucknow,Lucknow APMC,Mustard,6000.0,0.0,25.0
2026-04-02,Uttar Pradesh,Lucknow,Lucknow APMC,Mustard,6312.34,0.0,25.0
2026-04-03,Uttar Pradesh,Lucknow,Lucknow APMC,Mustard,7439.29,0.0,25.0
2026-04-04,Uttar Pradesh,Lucknow,Lucknow APMC,Mustard,6260.66,0.0,25.0
2026-04-05,Uttar Pradesh,Lucknow,Lucknow APMC,Mustard,16600.0,0.0,25.0
2026-04-06,Uttar Pradesh,Lucknow,Lucknow APMC,Mustard,6205.61,0.0,25.0
2026-04-07,Uttar Pradesh,Lucknow,Lucknow APMC,Mustard,7100.0,0.0,25.0
2026-04-16,Uttar Pradesh,Lucknow,Lucknow APMC,Mustard,6190.84,0.0,25.0
2026-04-24,Uttar Pradesh,Lucknow,Lucknow APMC,Mustard,8300.0,0.0,25.0
2026-05-02,Uttar Pradesh,Lucknow,Lucknow APMC,Mustard,7000.0,0.0,25.0
2026-05-17,Uttar Pradesh,Lucknow,Lucknow APMC,Mustard,5100.0,0.0,25.0
2026-05-22,Uttar Pradesh,Lucknow,Lucknow APMC,Mustard,12246.36,0.0,25.0
2026-05-27,Uttar Pradesh,Lucknow,Lucknow APMC,Mustard,7000.0,0.0,25.0
2026-05-29,Uttar Pradesh,Lucknow,Lucknow APMC,Mustard,6621.92,0.0,25.0
2026-05-30,Uttar Pradesh,Lucknow,Lucknow APMC,Mustard,6787.89,0.0,25.0
2026-05-31,Uttar Pradesh,Lucknow,Lucknow APMC,Mustard,6745.09,0.0,25.0
2026-06-01,Uttar Pradesh,Lucknow,Lucknow APMC,Mustard,6291.67,0.0,25.0
2026-06-08,Uttar Pradesh,Lucknow,Lucknow APMC,Mustard,13832.0,0.0,25.0
2026-06-11,Uttar Pradesh,Lucknow,Lucknow APMC,Mustard,6909.85,0.0,25.0
2026-06-12,Uttar Pradesh,Lucknow,Lucknow APMC,Mustard,6966.48,0.0,25.0
2026-06-13,Uttar Pradesh,Lucknow,Lucknow APMC,Mustard,6970.44,0.0,25.0
2026-06-30,Uttar Pradesh,Lucknow,Lucknow APMC,Mustard,8500.0,0.0,25.0
2026-07-01,Uttar Pradesh,Lucknow,Lucknow APMC,Mustard,10100.0,0.0,25.0
2026-07-13,Uttar Pradesh,Lucknow,Lucknow APMC,Mustard,8286.0,0.0,25.0
2026-07-23,Uttar Pradesh,Lucknow,Lucknow APMC,Mustard,6000.0,0.0,25.0
2026-07-27,Uttar Pradesh,Lucknow,Lucknow APMC,Mustard,7066.57,0.0,25.0
2026-07-29,Uttar Pradesh,Lucknow,Lucknow APMC,Mustard,7103.27,0.0,25.0
2026-07-30,Uttar Pradesh,Lucknow,Lucknow APMC,Mustard,11700.0,0.0,25.0
2026-07-31,Uttar Pradesh,Lucknow,Lucknow APMC,Mustard,7109.28,0.0,25.0
2026-08-01,Uttar Pradesh,Lucknow,Lucknow APMC,Mustard,6730.98,0.0,25.0
