arrival_date,state,district,market,commodity,modal_price
2026-04-15,Uttar Pradesh,Lucknow,Lucknow APMC,Potato,1100.0
2026-04-16,Uttar Pradesh,Lucknow,Lucknow APMC,Potato,1100.0
2026-04-17,Uttar Pradesh,Lucknow,Lucknow APMC,Potato,1100.0
2026-04-18,Uttar Pradesh,Lucknow,Lucknow APMC,Potato,1100.0
2026-04-19,Uttar Pradesh,Lucknow,Lucknow APMC,Potato,1100.0
2026-04-20,Uttar Pradesh,Lucknow,Lucknow APMC,Potato,600.0
2026-04-26,Uttar Pradesh,Lucknow,Lucknow APMC,Potato,601.7
2026-04-27,Uttar Pradesh,Lucknow,Lucknow APMC,Potato,600.0
2026-04-28,Uttar Pradesh,Lucknow,Lucknow APMC,Potato,600.0
2026-04-29,Uttar Pradesh,Lucknow,Lucknow APMC,Potato,600.0
2026-04-30,Uttar Pradesh,Lucknow,Lucknow APMC,Potato,600.0
2026-05-04,Uttar Pradesh,Lucknow,Lucknow APMC,Potato,600.0
2026-05-06,Uttar Pradesh,Lucknow,Lucknow APMC,Potato,600.0
2026-05-07,Uttar Pradesh,Lucknow,Lucknow APMC,Potato,600.0
2026-05-08,Uttar Pradesh,Lucknow,Lucknow APMC,Potato,600.0
2026-05-14,Uttar Pradesh,Lucknow,Lucknow APMC,Potato,1634.85
2026-05-15,Uttar Pradesh,Lucknow,Lucknow APMC,Potato,600.0
2026-05-18,Uttar Pradesh,Lucknow,Lucknow APMC,Potato,600.0
2026-05-20,Uttar Pradesh,Lucknow,Lucknow APMC,Potato,800.0
2026-05-23,Uttar Pradesh,Lucknow,Lucknow APMC,Potato,800.0
2026-05-27,Uttar Pradesh,Lucknow,Lucknow APMC,Potato,800.94
2026-05-29,Uttar Pradesh,Lucknow,Lucknow APMC,Potato,800.0
2026-05-30,Uttar Pradesh,Lucknow,Lucknow APMC,Potato,800.0
2026-05-31,Uttar Pradesh,Lucknow,Lucknow APMC,Potato,800.0
2026-06-01,Uttar Pradesh,Lucknow,Lucknow APMC,Potato,800.0
2026-06-03,Uttar Pradesh,Lucknow,Lucknow APMC,Potato,800.0
2026-06-05,Uttar Pradesh,Lucknow,Lucknow APMC,Potato,800.0
2026-06-06,Uttar Pradesh,Lucknow,Lucknow APMC,Potato,800.0
2026-06-11,Uttar Pradesh,Lucknow,Lucknow APMC,Potato,1692.45
2026-06-13,Uttar Pradesh,Lucknow,Lucknow APMC,Potato,1100.0
2026-06-14,Uttar Pradesh,Lucknow,Lucknow APMC,Potato,700.0
2026-06-15,Uttar Pradesh,Lucknow,Lucknow APMC,Potato,700.0
2026-06-17,Uttar Pradesh,Lucknow,Lucknow APMC,Potato,700.0
2026-06-18,Uttar Pradesh,Lucknow,Lucknow APMC,Potato,700.0
2026-06-21,Uttar Pradesh,Lucknow,Lucknow APMC,Potato,700.0
2026-06-22,Uttar Pradesh,Lucknow,Lucknow APMC,Potato,700.0
2026-06-24,Uttar Pradesh,Lucknow,Lucknow APMC,Potato,700.0
2026-06-25,Uttar Pradesh,Lucknow,Lucknow APMC,Potato,700.0
2026-06-27,Uttar Pradesh,Lucknow,Lucknow APMC,Potato,700.0
2026-06-28,Uttar Pradesh,Lucknow,Lucknow APMC,Potato,700.0
2026-06-29,Uttar Pradesh,Lucknow,Lucknow APMC,Potato,737.13
2026-06-30,Uttar Pradesh,Lucknow,Lucknow APMC,Potato,700.0
2026-07-01,Uttar Pradesh,Lucknow,Lucknow APMC,Potato,700.0
2026-07-02,Uttar Pradesh,Lucknow,Lucknow APMC,Potato,700.0
2026-07-04,Uttar Pradesh,Lucknow,Lucknow APMC,Potato,700.0
2026-07-05,Uttar Pradesh,Lucknow,Lucknow APMC,Potato,700.0
2026-07-07,Uttar Pradesh,Lucknow,Lucknow APMC,Potato,700.0
2026-07-08,Uttar Pradesh,Lucknow,Lucknow APMC,Potato,700.0
2026-07-09,Uttar Pradesh,Lucknow,Lucknow APMC,Potato,700.0
2026-07-10,Uttar Pradesh,Lucknow,Lucknow APMC,Potato,700.0
2026-07-11,Uttar Pradesh,Lucknow,Lucknow APMC,Potato,700.0
2026-07-12,Uttar Pradesh,Lucknow,Lucknow APMC,Potato,700.0
2026-07-13,Uttar Pradesh,Lucknow,Lucknow APMC,Potato,1649.43
2026-07-14,Uttar Pradesh,Lucknow,Lucknow APMC,Potato,700.0
2026-07-15,Uttar Pradesh,Lucknow,Lucknow APMC,Potato,700.0
2026-07-16,Uttar Pradesh,Lucknow,Lucknow APMC,Potato,700.0
2026-07-17,Uttar Pradesh,Lucknow,Lucknow APMC,Potato,700.0
2026-07-18,Uttar Pradesh,Lucknow,Lucknow APMC,Potato,700.0
2026-07-19,Uttar Pradesh,Lucknow,Lucknow APMC,Potato,700.0
2026-07-20,Uttar Pradesh,Lucknow,Lucknow APMC,Potato,700.0
2026-07-23,Uttar Pradesh,Lucknow,Lucknow APMC,Potato,700.0
2026-07-24,Uttar Pradesh,Lucknow,Lucknow APMC,Potato,700.0
2026-07-25,Uttar Pradesh,Lucknow,Lucknow APMC,Potato,700.0
2026-07-26,Uttar Pradesh,Lucknow,Lucknow APMC,Potato,700.0
2026-07-27,Uttar Pradesh,Lucknow,Lucknow APMC,Potato,726.48
2026-07-28,Uttar Pradesh,Lucknow,Lucknow APMC,Potato,700.0
2026-07-29,Uttar Pradesh,Lucknow,Lucknow APMC,Potato,700.0
2026-07-30,Uttar Pradesh,Lucknow,Lucknow APMC,Potato,700.0
2026-07-31,Uttar Pradesh,Lucknow,Lucknow APMC,Potato,700.0
2026-08-01,Uttar Pradesh,Lucknow,Lucknow APMC,Potato,917.55
2026-08-02,Uttar Pradesh,Lucknow,Lucknow APMC,Potato,700.0
2026-08-03,Uttar Pradesh,Lucknow,Lucknow APMC,Potato,1100.0
2026-08-04,Uttar Pradesh,Lucknow,Lucknow APMC,Potato,700.0
