arrival_date,state,district,market,commodity,modal_price
2026-02-27,Uttar Pradesh,Lucknow,Lucknow APMC,Tomato,1179.24
2026-03-12,Uttar Pradesh,Lucknow,Lucknow APMC,Tomato,2332.49
2026-03-18,Uttar Pradesh,Lucknow,Lucknow APMC,Tomato,700.0
2026-03-25,Uttar Pradesh,Lucknow,Lucknow APMC,Tomato,1763.51
2026-03-29,Uttar Pradesh,Lucknow,Lucknow APMC,Tomato,700.0
2026-03-30,Uttar Pradesh,Lucknow,Lucknow APMC,Tomato,700.0
2026-03-31,Uttar Pradesh,Lucknow,Lucknow APMC,Tomato,700.0
2026-04-03,Uttar Pradesh,Lucknow,Lucknow APMC,Tomato,700.0
2026-04-04,Uttar Pradesh,Lucknow,Lucknow APMC,Tomato,700.0
2026-04-06,Uttar Pradesh,Lucknow,Lucknow APMC,Tomato,700.0
2026-04-09,Uttar Pradesh,Lucknow,Lucknow APMC,Tomato,700.0
2026-04-12,Uttar Pradesh,Lucknow,Lucknow APMC,Tomato,700.0
2026-04-13,Uttar Pradesh,Lucknow,Lucknow APMC,Tomato,785.73
2026-04-16,Uttar Pradesh,Lucknow,Lucknow APMC,Tomato,700.0
2026-04-17,Uttar Pradesh,Lucknow,Lucknow APMC,Tomato,700.0
2026-04-21,Uttar Pradesh,Lucknow,Lucknow APMC,Tomato,700.0
2026-04-26,Uttar Pradesh,Lucknow,Lucknow APMC,Tomato,2226.87
2026-04-28,Uttar Pradesh,Lucknow,Lucknow APMC,Tomato,800.0
2026-04-29,Uttar Pradesh,Lucknow,Lucknow APMC,Tomato,800.0
2026-04-30,Uttar Pradesh,Lucknow,Lucknow APMC,Tomato,800.0
2026-05-01,Uttar Pradesh,Lucknow,Lucknow APMC,Tomato,800.0
2026-05-08,Uttar Pradesh,Lucknow,Lucknow APMC,Tomato,800.0
2026-05-12,Uttar Pradesh,Lucknow,Lucknow APMC,Tomato,800.0
2026-05-13,Uttar Pradesh,Lucknow,Lucknow APMC,Tomato,923.08
2026-05-14,Uttar Pradesh,Lucknow,Lucknow APMC,Tomato,2049.87
2026-05-21,Uttar Pradesh,Lucknow,Lucknow APMC,Tomato,1200.0
2026-05-26,Uttar Pradesh,Lucknow,Lucknow APMC,Tomato,1200.0
2026-05-27,Uttar Pradesh,Lucknow,Lucknow APMC,Tomato,1230.54
2026-06-01,Uttar Pradesh,Lucknow,Lucknow APMC,Tomato,1200.0
2026-06-11,Uttar Pradesh,Lucknow,Lucknow APMC,Tomato,2225.94
2026-06-13,Uttar Pradesh,Lucknow,Lucknow APMC,Tomato,2000.0
2026-06-16,Uttar Pradesh,Lucknow,Lucknow APMC,Tomato,2000.0
2026-06-17,Uttar Pradesh,Lucknow,Lucknow APMC,Tomato,2000.0
2026-06-18,Uttar Pradesh,Lucknow,Lucknow APMC,Tomato,2000.0
2026-06-20,Uttar Pradesh,Lucknow,Lucknow APMC,Tomato,2000.0
2026-06-26,Uttar Pradesh,Lucknow,Lucknow APMC,Tomato,2000.0
2026-06-28,Uttar Pradesh,Lucknow,Lucknow APMC,Tomato,2000.0
2026-06-29,Uttar Pradesh,Lucknow,Lucknow APMC,Tomato,2022.13
2026-06-30,Uttar Pradesh,Lucknow,Lucknow APMC,Tomato,2000.0
2026-07-11,Uttar Pradesh,Lucknow,Lucknow APMC,Tomato,2500.0
2026-07-13,Uttar Pradesh,Lucknow,Lucknow APMC,Tomato,3671.03
2026-07-27,Uttar Pradesh,Lucknow,Lucknow APMC,Tomato,3124.27
2026-07-29,Uttar Pradesh,Lucknow,Lucknow APMC,Tomato,2208.19
2026-07-30,Uttar Pradesh,Lucknow,Lucknow APMC,Tomato,1940.43
2026-07-31,Uttar Pradesh,Lucknow,Lucknow APMC,Tomato,2000.0
2026-08-03,Uttar Pradesh,Lucknow,Lucknow APMC,Tomato,2000.0
2026-08-10,Uttar Pradesh,Lucknow,Lucknow APMC,Tomato,2000.0
2026-08-11,Uttar Pradesh,Lucknow,Lucknow APMC,Tomato,2000.0
2026-08-12,Uttar Pradesh,Lucknow,Lucknow APMC,Tomato,2000.0
2026-08-13,Uttar Pradesh,Lucknow,Lucknow APMC,Tomato,2122.22
2026-08-17,Uttar Pradesh,Lucknow,Lucknow APMC,Tomato,2000.0
2026-08-26,Uttar Pradesh,Lucknow,Lucknow APMC,Tomato,2006.81
2026-08-27,Uttar Pradesh,Lucknow,Lucknow APMC,Tomato,2000.0
2026-08-30,Uttar Pradesh,Lucknow,Lucknow APMC,Tomato,2000.0
2026-08-31,Uttar Pradesh,Lucknow,Lucknow APMC,Tomato,2000.0
2026-09-01,Uttar Pradesh,Lucknow,Lucknow APMC,Tomato,2000.0
2026-09-02,Uttar Pradesh,Lucknow,Lucknow APMC,Tomato,2000.0
2026-09-04,Uttar Pradesh,Lucknow,Lucknow APMC,Tomato,2000.0
