arrival_date,state,district,market,commodity,modal_price,precipitation_sum,temperature_2m_max
2026-08-10,Uttar Pradesh,Lucknow,Lucknow APMC,Wheat,2400.0,5.8,32.0
2026-08-11,Uttar Pradesh,Lucknow,Lucknow APMC,Wheat,2400.0,6.9,33.3
2026-08-12,Uttar Pradesh,Lucknow,Lucknow APMC,Wheat,2579.45,0.7,34.8
2026-08-13,Uttar Pradesh,Lucknow,Lucknow APMC,Wheat,2610.85,2.0,33.6
2026-08-14,Uttar Pradesh,Lucknow,Lucknow APMC,Wheat,2640.0,7.3,32.6
2026-08-15,Uttar Pradesh,Lucknow,Lucknow APMC,Wheat,2640.0,7.8,33.7
2026-08-16,Uttar Pradesh,Lucknow,Lucknow APMC,Wheat,2640.0,17.1,30.0
2026-08-17,Uttar Pradesh,Lucknow,Lucknow APMC,Wheat,2640.0,17.2,29.3
2026-08-18,Uttar Pradesh,Lucknow,Lucknow APMC,Wheat,2640.0,10.1,30.8
2026-08-19,Uttar Pradesh,Lucknow,Lucknow APMC,Wheat,2640.0,6.9,32.2
2026-08-20,Uttar Pradesh,Lucknow,Lucknow APMC,Wheat,2640.0,4.0,32.5
2026-08-21,Uttar Pradesh,Lucknow,Lucknow APMC,Wheat,2640.0,9.4,33.4
2026-08-22,Uttar Pradesh,Lucknow,Lucknow APMC,Wheat,2640.0,15.8,32.3
2026-08-23,Uttar Pradesh,Lucknow,Lucknow APMC,Wheat,2640.0,5.5,32.3
2026-08-24,Uttar Pradesh,Lucknow,Lucknow APMC,Wheat,2640.0,10.4,31.5
2026-08-25,Uttar Pradesh,Lucknow,Lucknow APMC,Wheat,2640.0,28.5,29.7
2026-08-26,Uttar Pradesh,Lucknow,Lucknow APMC,Wheat,2640.0,25.7,31.9
2026-08-27,Uttar Pradesh,Lucknow,Lucknow APMC,Wheat,2640.0,21.8,31.8
2026-08-28,Uttar Pradesh,Lucknow,Lucknow APMC,Wheat,2640.0,27.9,31.9
2026-08-29,Uttar Pradesh,Lucknow,Lucknow APMC,Wheat,2640.0,9.4,32.6
2026-08-30,Uttar Pradesh,Lucknow,Lucknow APMC,Wheat,2640.0,4.3,32.0
2026-08-31,Uttar Pradesh,Lucknow,Lucknow APMC,Wheat,2640.0,14.7,31.5
2026-09-01,Uttar Pradesh,Lucknow,Lucknow APMC,Wheat,2684.14,16.8,30.7
2026-09-02,Uttar Pradesh,Lucknow,Lucknow APMC,Wheat,2689.4,32.0,29.4
2026-09-03,Uttar Pradesh,Lucknow,Lucknow APMC,Wheat,2690.0,11.1,30.0
2026-09-04,Uttar Pradesh,Lucknow,Lucknow APMC,Wheat,2690.0,7.6,31.0
