date,predicted_price,weather_factor
2026-09-03,2367.0,1.02
2026-09-04,2363.01,1.02
2026-09-05,2362.68,1.02
2026-09-06,2350.5,1.02
2026-09-07,2455.62,1.05
2026-09-08,2360.95,1.02
2026-09-09,2450.92,1.05
2026-09-10,2321.92,1.0
2026-09-11,2318.0,1.0
2026-09-12,2317.68,1.0
2026-09-13,2305.74,1.0
2026-09-14,2340.01,1.0
2026-09-15,2315.98,1.0
2026-09-16,2335.53,1.0
2026-09-17,2323.25,1.0
2026-09-18,2319.33,1.0
2026-09-19,2319.01,1.0
2026-09-20,2307.07,1.0
2026-09-21,2341.34,1.0
2026-09-22,2317.31,1.0
2026-09-23,2336.86,1.0
2026-09-24,2324.58,1.0
2026-09-25,2320.66,1.0
2026-09-26,2320.34,1.0
2026-09-27,2308.4,1.0
2026-09-28,2342.66,1.0
2026-09-29,2318.64,1.0
2026-09-30,2338.19,1.0
2026-10-01,2325.9,1.0
2026-10-02,2321.99,1.0
