arrival_date,commodity,commodity_code,district,grade,market,max_price,min_price,modal_price,state,variety
23/08/2026,Maize,4,Lucknow,FAQ,Lucknow APMC,8856.19,8737.5,8740.41,Uttar Pradesh,Other
19/08/2026,Maize,4,Lucknow,FAQ,Lucknow APMC,8669.6,8669.6,8669.6,Uttar Pradesh,Other
31/07/2026,Maize,4,Lucknow,FAQ,Lucknow APMC,8703.35,8703.35,8703.35,Uttar Pradesh,Other
14/07/2026,Maize,4,Lucknow,FAQ,Lucknow APMC,10000.0,8600.0,9151.52,Uttar Pradesh,Other
11/07/2026,Maize,4,Lucknow,FAQ,Lucknow APMC,7905.0,7550.0,7600.8,Uttar Pradesh,Other
29/06/2026,Maize,4,Lucknow,FAQ,Lucknow APMC,8322.86,8322.86,8322.86,Uttar Pradesh,Other
27/06/2026,Maize,4,Lucknow,FAQ,Lucknow APMC,2000.0,2000.0,2000.0,Uttar Pradesh,Other
26/06/2026,Maize,4,Lucknow,FAQ,Lucknow APMC,10000.0,10000.0,10000.0,Uttar Pradesh,Other
12/06/2026,Maize,4,Lucknow,FAQ,Lucknow APMC,2000.0,2000.0,2000.0,Uttar Pradesh,Other
11/06/2026,Maize,4,Lucknow,FAQ,Lucknow APMC,2000.0,2000.0,2000.0,Uttar Pradesh,Other
10/06/2026,Maize,4,Lucknow,FAQ,Lucknow APMC,9940.0,9940.0,9940.0,Uttar Pradesh,Other
30/05/2026,Maize,4,Lucknow,FAQ,Lucknow APMC,9940.0,9940.0,9940.0,Uttar Pradesh,Other
29/05/2026,Maize,4,Lucknow,FAQ,Lucknow APMC,9900.0,9900.0,9900.0,Uttar Pradesh,Other
26/05/2026,Maize,4,Lucknow,FAQ,Lucknow APMC,8475.24,8322.95,8348.38,Uttar Pradesh,Other
30/04/2026,Maize,4,Lucknow,FAQ,Lucknow APMC,2000.0,2000.0,2000.0,Uttar Pradesh,Other
29/04/2026,Maize,4,Lucknow,FAQ,Lucknow APMC,9840.0,6500.0,7877.3,Uttar Pradesh,Other
25/04/2026,Maize,4,Lucknow,FAQ,Lucknow APMC,9700.0,9700.0,9700.0,Uttar Pradesh,Other
15/04/2026,Maize,4,Lucknow,FAQ,Lucknow APMC,7400.0,7400.0,7400.0,Uttar Pradesh,Other
13/04/2026,Maize,4,Lucknow,FAQ,Lucknow APMC,9132.5,9132.5,9132.5,Uttar Pradesh,Other
12/04/2026,Maize,4,Lucknow,FAQ,Lucknow APMC,9800.0,9800.0,9800.0,Uttar Pradesh,Other
12/03/2026,Maize,4,Lucknow,FAQ,Lucknow APMC,2000.0,2000.0,2000.0,Uttar Pradesh,Other
