arrival_date,commodity,commodity_code,district,grade,market,max_price,min_price,modal_price,state,variety
04/09/2026,Mustard,12,Lucknow,FAQ,Lucknow APMC,8450.0,8450.0,8450.0,Uttar Pradesh,Other
02/09/2026,Mustard,12,Lucknow,FAQ,Lucknow APMC,7000.0,7000.0,7000.0,Uttar Pradesh,Other
01/09/2026,Mustard,12,Lucknow,FAQ,Lucknow APMC,7000.0,7000.0,7000.0,Uttar Pradesh,Other
30/08/2026,Mustard,12,Lucknow,FAQ,Lucknow APMC,7000.0,6900.0,6975.04,Uttar Pradesh,Other
27/08/2026,Mustard,12,Lucknow,FAQ,Lucknow APMC,7000.0,7000.0,7000.0,Uttar Pradesh,Other
24/08/2026,Mustard,12,Lucknow,FAQ,Lucknow APMC,7170.0,7169.98,7170.0,Uttar Pradesh,Other
20/08/2026,Mustard,12,Lucknow,FAQ,Lucknow APMC,7000.0,7000.0,7000.0,Uttar Pradesh,Other
18/08/2026,Mustard,12,Lucknow,FAQ,Lucknow APMC,12105.0,12105.0,12105.0,Uttar Pradesh,Other
14/08/2026,Mustard,12,Lucknow,FAQ,Lucknow APMC,9500.0,9500.0,9500.0,Uttar Pradesh,Other
04/08/2026,Mustard,12,Lucknow,FAQ,Lucknow APMC,6700.0,6700.0,6700.0,Uttar Pradesh,Other
03/08/2026,Mustard,12,Lucknow,FAQ,Lucknow APMC,6600.0,6400.0,6568.38,Uttar Pradesh,Other
01/08/2026,Mustard,12,Lucknow,FAQ,Lucknow APMC,6800.0,6500.0,6730.98,Uttar Pradesh,Other
31/07/2026,Mustard,12,Lucknow,FAQ,Lucknow APMC,9300.0,7050.0,7109.28,Uttar Pradesh,Other
30/07/2026,Mustard,12,Lucknow,FAQ,Lucknow APMC,11700.0,11700.0,11700.0,Uttar Pradesh,Other
29/07/2026,Mustard,12,Lucknow,FAQ,Lucknow APMC,9150.0,7060.0,7103.27,Uttar Pradesh,Other
27/07/2026,Mustard,12,Lucknow,FAQ,Lucknow APMC,7070.0,7060.0,7066.57,Uttar Pradesh,Other
23/07/2026,Mustard,12,Lucknow,FAQ,Lucknow APMC,6000.0,6000.0,6000.0,Uttar Pradesh,Other
13/07/2026,Mustard,12,Lucknow,FAQ,Lucknow APMC,8286.0,8286.0,8286.0,Uttar Pradesh,Other
01/07/2026,Mustard,12,Lucknow,FAQ,Lucknow APMC,10100.0,10100.0,10100.0,Uttar Pradesh,Other
30/06/2026,Mustard,12,Lucknow,FAQ,Lucknow APMC,8500.0,8500.0,8500.0,Uttar Pradesh,Other
13/06/2026,Mustard,12,Lucknow,FAQ,Lucknow APMC,7085.0,6890.0,6970.44,Uttar Pradesh,Other
12/06/2026,Mustard,12,Lucknow,FAQ,Lucknow APMC,7070.0,6890.0,6966.48,Uttar Pradesh,Other
11/06/2026,Mustard,12,Lucknow,FAQ,Lucknow APMC,6950.0,6900.0,6909.85,Uttar Pradesh,Other
08/06/2026,Mustard,12,Lucknow,FAQ,Lucknow APMC,13832.0,13832.0,13832.0,Uttar Pradesh,Other
01/06/2026,Mustard,12,Lucknow,FAQ,Lucknow APMC,6875.0,6000.0,6291.67,Uttar Pradesh,Other
31/05/2026,Mustard,12,Lucknow,FAQ,Lucknow APMC,6780.0,6690.0,6745.09,Uttar Pradesh,Other
30/05/2026,Mustard,12,Lucknow,FAQ,Lucknow APMC,6850.0,6710.0,6787.89,Uttar Pradesh,Other
29/05/2026,Mustard,12,Lucknow,FAQ,Lucknow APMC,8626.69,6360.0,6621.92,Uttar Pradesh,Other
27/05/2026,Mustard,12,Lucknow,FAQ,Lucknow APMC,7000.0,7000.0,7000.0,Uttar Pradesh,Other
22/05/2026,Mustard,12,Lucknow,FAQ,Lucknow APMC,12246.36,12246.36,12246.36,Uttar Pradesh,Other
17/05/2026,Mustard,12,Lucknow,FAQ,Lucknow APMC,5100.0,5100.0,5100.0,Uttar Pradesh,Other
02/05/2026,Mustard,12,Lucknow,FAQ,Lucknow APMC,7000.0,7000.0,7000.0,Uttar Pradesh,Other
24/04/2026,Mustard,12,Lucknow,FAQ,Lucknow APMC,8300.0,8300.0,8300.0,Uttar Pradesh,Other
16/04/2026,Mustard,12,Lucknow,FAQ,Lucknow APMC,6335.0,5900.0,6190.84,Uttar Pradesh,Other
07/04/2026,Mustard,12,Lucknow,FAQ,Lucknow APMC,7100.0,7100.0,7100.0,Uttar Pradesh,Other
06/04/2026,Mustard,12,Lucknow,FAQ,Lucknow APMC,6380.0,6055.0,6205.61,Uttar Pradesh,Other
05/04/2026,Mustard,12,Lucknow,FAQ,Lucknow APMC,16600.0,16600.0,16600.0,Uttar Pradesh,Other
04/04/2026,Mustard,12,Lucknow,FAQ,Lucknow APMC,6410.0,6000.0,6260.66,Uttar Pradesh,Other
03/04/2026,Mustard,12,Lucknow,FAQ,Lucknow APMC,7800.0,7295.0,7439.29,Uttar Pradesh,Other
02/04/2026,Mustard,12,Lucknow,FAQ,Lucknow APMC,6410.0,5900.0,6312.34,Uttar Pradesh,Other
31/03/2026,Mustard,12,Lucknow,FAQ,Lucknow APMC,6000.0,6000.0,6000.0,Uttar Pradesh,Other
30/03/2026,Mustard,12,Lucknow,FAQ,Lucknow APMC,5300.0,5100.0,5220.74,Uttar Pradesh,Other
29/03/2026,Mustard,12,Lucknow,FAQ,Lucknow APMC,5600.0,5600.0,5600.0,Uttar Pradesh,Other
28/03/2026,Mustard,12,Lucknow,FAQ,Lucknow APMC,7987.5,5100.0,6427.68,Uttar Pradesh,Other
27/03/2026,Mustard,12,Lucknow,FAQ,Lucknow APMC,6000.0,6000.0,6000.0,Uttar Pradesh,Other
25/03/2026,Mustard,12,Lucknow,FAQ,Lucknow APMC,8000.0,8000.0,8000.0,Uttar Pradesh,Other
24/03/2026,Mustard,12,Lucknow,FAQ,Lucknow APMC,6040.0,5100.0,5623.55,Uttar Pradesh,Other
23/03/2026,Mustard,12,Lucknow,FAQ,Lucknow APMC,6040.0,5100.0,5679.02,Uttar Pradesh,Other
21/03/2026,Mustard,12,Lucknow,FAQ,Lucknow APMC,10500.0,10076.0,10205.56,Uttar Pradesh,Other
20/03/2026,Mustard,12,Lucknow,FAQ,Lucknow APMC,5100.0,5100.0,5100.0,Uttar Pradesh,Other
