arrival_date,commodity,commodity_code,district,grade,market,max_price,min_price,modal_price,state,variety
04/09/2026,Potato,24,Lucknow,FAQ,Lucknow APMC,700.0,700.0,700.0,Uttar Pradesh,Other
03/09/2026,Potato,24,Lucknow,FAQ,Lucknow APMC,700.0,700.0,700.0,Uttar Pradesh,Other
01/09/2026,Potato,24,Lucknow,FAQ,Lucknow APMC,700.0,700.0,700.0,Uttar Pradesh,Other
31/08/2026,Potato,24,Lucknow,FAQ,Lucknow APMC,710.0,700.0,700.43,Uttar Pradesh,Other
30/08/2026,Potato,24,Lucknow,FAQ,Lucknow APMC,800.0,700.0,733.33,Uttar Pradesh,Other
29/08/2026,Potato,24,Lucknow,FAQ,Lucknow APMC,700.0,700.0,700.0,Uttar Pradesh,Other
27/08/2026,Potato,24,Lucknow,FAQ,Lucknow APMC,700.0,700.0,700.0,Uttar Pradesh,Other
26/08/2026,Potato,24,Lucknow,FAQ,Lucknow APMC,1465.09,700.0,705.89,Uttar Pradesh,Other
25/08/2026,Potato,24,Lucknow,FAQ,Lucknow APMC,700.0,700.0,700.0,Uttar Pradesh,Other
24/08/2026,Potato,24,Lucknow,FAQ,Lucknow APMC,1100.0,700.0,817.22,Uttar Pradesh,Other
23/08/2026,Potato,24,Lucknow,FAQ,Lucknow APMC,1100.0,700.0,894.61,Uttar Pradesh,Other
22/08/2026,Potato,24,Lucknow,FAQ,Lucknow APMC,700.0,700.0,700.0,Uttar Pradesh,Other
21/08/2026,Potato,24,Lucknow,FAQ,Lucknow APMC,700.0,700.0,700.0,Uttar Pradesh,Other
19/08/2026,Potato,24,Lucknow,FAQ,Lucknow APMC,700.0,700.0,700.0,Uttar Pradesh,Other
18/08/2026,Potato,24,Lucknow,FAQ,Lucknow APMC,700.0,700.0,700.0,Uttar Pradesh,Other
17/08/2026,Potato,24,Lucknow,FAQ,Lucknow APMC,700.0,700.0,700.0,Uttar Pradesh,Other
16/08/2026,Potato,24,Lucknow,FAQ,Lucknow APMC,700.0,700.0,700.0,Uttar Pradesh,Other
15/08/2026,Potato,24,Lucknow,FAQ,Lucknow APMC,700.0,700.0,700.0,Uttar Pradesh,Other
14/08/2026,Potato,24,Lucknow,FAQ,Lucknow APMC,700.0,700.0,700.0,Uttar Pradesh,Other
13/08/2026,Potato,24,Lucknow,FAQ,Lucknow APMC,1575.91,1575.91,1575.91,Uttar Pradesh,Other
12/08/2026,Potato,24,Lucknow,FAQ,Lucknow APMC,700.0,700.0,700.0,Uttar Pradesh,Other
11/08/2026,Potato,24,Lucknow,FAQ,Lucknow APMC,700.0,700.0,700.0,Uttar Pradesh,Other
10/08/2026,Potato,24,Lucknow,FAQ,Lucknow APMC,700.0,700.0,700.0,Uttar Pradesh,Other
09/08/2026,Potato,24,Lucknow,FAQ,Lucknow APMC,700.0,700.0,700.0,Uttar Pradesh,Other
07/08/2026,Potato,24,Lucknow,FAQ,Lucknow APMC,1100.0,1100.0,1100.0,Uttar Pradesh,Other
06/08/2026,Potato,24,Lucknow,FAQ,Lucknow APMC,700.0,700.0,700.0,Uttar Pradesh,Other
05/08/2026,Potato,24,Lucknow,FAQ,Lucknow APMC,1100.0,700.0,830.73,Uttar Pradesh,Other
04/08/2026,Potato,24,Lucknow,FAQ,Lucknow APMC,700.0,700.0,700.0,Uttar Pradesh,Other
03/08/2026,Potato,24,Lucknow,FAQ,Lucknow APMC,1100.0,1100.0,1100.0,Uttar Pradesh,Other
02/08/2026,Potato,24,Lucknow,FAQ,Lucknow APMC,700.0,700.0,700.0,Uttar Pradesh,Other
01/08/2026,Potato,24,Lucknow,FAQ,Lucknow APMC,1100.0,700.0,917.55,Uttar Pradesh,Other
31/07/2026,Potato,24,Lucknow,FAQ,Lucknow APMC,700.0,700.0,700.0,Uttar Pradesh,Other
30/07/2026,Potato,24,Lucknow,FAQ,Lucknow APMC,700.0,700.0,700.0,Uttar Pradesh,Other
29/07/2026,Potato,24,Lucknow,FAQ,Lucknow APMC,700.0,700.0,700.0,Uttar Pradesh,Other
28/07/2026,Potato,24,Lucknow,FAQ,Lucknow APMC,700.0,700.0,700.0,Uttar Pradesh,Other
27/07/2026,Potato,24,Lucknow,FAQ,Lucknow APMC,1457.36,700.0,726.48,Uttar Pradesh,Other
26/07/2026,Potato,24,Lucknow,FAQ,Lucknow APMC,700.0,700.0,700.0,Uttar Pradesh,Other
25/07/2026,Potato,24,Lucknow,FAQ,Lucknow APMC,700.0,700.0,700.0,Uttar Pradesh,Other
24/07/2026,Potato,24,Lucknow,FAQ,Lucknow APMC,700.0,700.0,700.0,Uttar Pradesh,Other
23/07/2026,Potato,24,Lucknow,FAQ,Lucknow APMC,700.0,700.0,700.0,Uttar Pradesh,Other
20/07/2026,Potato,24,Lucknow,FAQ,Lucknow APMC,700.0,700.0,700.0,Uttar Pradesh,Other
19/07/2026,Potato,24,Lucknow,FAQ,Lucknow APMC,700.0,700.0,700.0,Uttar Pradesh,Other
18/07/2026,Potato,24,Lucknow,FAQ,Lucknow APMC,700.0,700.0,700.0,Uttar Pradesh,Other
17/07/2026,Potato,24,Lucknow,FAQ,Lucknow APMC,700.0,700.0,700.0,Uttar Pradesh,Other
16/07/2026,Potato,24,Lucknow,FAQ,Lucknow APMC,700.0,700.0,700.0,Uttar Pradesh,Other
15/07/2026,Potato,24,Lucknow,FAQ,Lucknow APMC,700.0,700.0,700.0,Uttar Pradesh,Other
14/07/2026,Potato,24,Lucknow,FAQ,Lucknow APMC,700.0,700.0,700.0,Uttar Pradesh,Other
13/07/2026,Potato,24,Lucknow,FAQ,Lucknow APMC,1649.43,1649.43,1649.43,Uttar Pradesh,Other
12/07/2026,Potato,24,Lucknow,FAQ,Lucknow APMC,700.0,700.0,700.0,Uttar Pradesh,Other
11/07/2026,Potato,24,Lucknow,FAQ,Lucknow APMC,700.0,700.0,700.0,Uttar Pradesh,Other
10/07/2026,Potato,24,Lucknow,FAQ,Lucknow APMC,700.0,700.0,700.0,Uttar Pradesh,Other
09/07/2026,Potato,24,Lucknow,FAQ,Lucknow APMC,700.0,700.0,700.0,Uttar Pradesh,Other
