arrival_date,commodity,commodity_code,district,grade,market,max_price,min_price,modal_price,state,variety
04/09/2026,Wheat,1,Lucknow,FAQ,Lucknow APMC,2690.0,2690,2690.0,Uttar Pradesh,Medium
04/09/2026,Wheat,1,Lucknow,FAQ,Lucknow APMC,2690.0,2690,2690.0,Uttar Pradesh,Medium Fine
04/09/2026,Wheat,1,Lucknow,FAQ,Lucknow APMC,2500.0,2500,2500.0,Uttar Pradesh,Dara
03/09/2026,Wheat,1,Lucknow,FAQ,Lucknow APMC,2690.0,2690,2690.0,Uttar Pradesh,Medium
03/09/2026,Wheat,1,Lucknow,FAQ,Lucknow APMC,2690.0,2690,2690.0,Uttar Pradesh,Medium Fine
03/09/2026,Wheat,1,Lucknow,FAQ,Lucknow APMC,2500.0,2500,2500.0,Uttar Pradesh,Other
02/09/2026,Wheat,1,Lucknow,FAQ,Lucknow APMC,2690.0,2640,2687.59,Uttar Pradesh,Medium
02/09/2026,Wheat,1,Lucknow,FAQ,Lucknow APMC,2690.0,2640,2689.4,Uttar Pradesh,Medium
01/09/2026,Wheat,1,Lucknow,FAQ,Lucknow APMC,2450.0,2450,2450.0,Uttar Pradesh,Mill Quality
01/09/2026,Wheat,1,Lucknow,FAQ,Lucknow APMC,2600.0,2500,2547.84,Uttar Pradesh,Dara
01/09/2026,Wheat,1,Lucknow,FAQ,Lucknow APMC,2450.0,2450,2450.0,Uttar Pradesh,Dara Mill Quality
01/09/2026,Wheat,1,Lucknow,FAQ,Lucknow APMC,2690.0,2640,2684.14,Uttar Pradesh,Medium
31/08/2026,Wheat,1,Lucknow,FAQ,Lucknow APMC,2640.0,2640,2640.0,Uttar Pradesh,Medium
31/08/2026,Wheat,1,Lucknow,FAQ,Lucknow APMC,2640.0,2640,2640.0,Uttar Pradesh,Deshi
31/08/2026,Wheat,1,Lucknow,FAQ,Lucknow APMC,2400.0,2400,2400.0,Uttar Pradesh,Dara Mill Quality
31/08/2026,Wheat,1,Lucknow,FAQ,Lucknow APMC,2500.0,2500,2500.0,Uttar Pradesh,Other
31/08/2026,Wheat,1,Lucknow,FAQ,Lucknow APMC,2400.0,2400,2400.0,Uttar Pradesh,Dara
31/08/2026,Wheat,1,Lucknow,FAQ,Lucknow APMC,2570.0,2570,2570.0,Uttar Pradesh,Local
30/08/2026,Wheat,1,Lucknow,FAQ,Lucknow APMC,2640.0,2640,2640.0,Uttar Pradesh,Medium
29/08/2026,Wheat,1,Lucknow,FAQ,Lucknow APMC,2640.0,2640,2640.0,Uttar Pradesh,Medium
29/08/2026,Wheat,1,Lucknow,FAQ,Lucknow APMC,2450.0,2450,2450.0,Uttar Pradesh,Mill Quality
29/08/2026,Wheat,1,Lucknow,FAQ,Lucknow APMC,2480.0,2480,2480.0,Uttar Pradesh,Dara Mill Quality
28/08/2026,Wheat,1,Lucknow,FAQ,Lucknow APMC,2640.0,2640,2640.0,Uttar Pradesh,Medium
27/08/2026,Wheat,1,Lucknow,FAQ,Lucknow APMC,2640.0,2640,2640.0,Uttar Pradesh,Medium
26/08/2026,Wheat,1,Lucknow,FAQ,Lucknow APMC,2640.0,2640,2640.0,Uttar Pradesh,Medium
26/08/2026,Wheat,1,Lucknow,FAQ,Lucknow APMC,2400.0,2400,2400.0,Uttar Pradesh,Dara
25/08/2026,Wheat,1,Lucknow,FAQ,Lucknow APMC,2425.0,2425,2425.0,Uttar Pradesh,Dara
25/08/2026,Wheat,1,Lucknow,FAQ,Lucknow APMC,2400.0,2400,2400.0,Uttar Pradesh,Dara Mill Quality
25/08/2026,Wheat,1,Lucknow,FAQ,Lucknow APMC,2640.0,2640,2640.0,Uttar Pradesh,Medium
24/08/2026,Wheat,1,Lucknow,FAQ,Lucknow APMC,2640.0,2640,2640.0,Uttar Pradesh,Medium
24/08/2026,Wheat,1,Lucknow,FAQ,Lucknow APMC,2640.0,2640,2640.0,Uttar Pradesh,Medium Fine
24/08/2026,Wheat,1,Lucknow,FAQ,Lucknow APMC,2640.0,2640,2640.0,Uttar Pradesh,Super Fine
24/08/2026,Wheat,1,Lucknow,FAQ,Lucknow APMC,2400.0,2400,2400.0,Uttar Pradesh,Dara Mill Quality
24/08/2026,Wheat,1,Lucknow,FAQ,Lucknow APMC,2560.0,2550,2552.12,Uttar Pradesh,Local
24/08/2026,Wheat,1,Lucknow,FAQ,Lucknow APMC,2450.0,2450,2450.0,Uttar Pradesh,Mill Quality
24/08/2026,Wheat,1,Lucknow,FAQ,Lucknow APMC,2425.0,2400,2414.9,Uttar Pradesh,Dara
23/08/2026,Wheat,1,Lucknow,FAQ,Lucknow APMC,2640.0,2640,2640.0,Uttar Pradesh,Medium
23/08/2026,Wheat,1,Lucknow,FAQ,Lucknow APMC,2550.0,2400,2466.39,Uttar Pradesh,Dara
22/08/2026,Wheat,1,Lucknow,FAQ,Lucknow APMC,2550.0,2550,2550.0,Uttar Pradesh,Local
22/08/2026,Wheat,1,Lucknow,FAQ,Lucknow APMC,2450.0,2450,2450.0,Uttar Pradesh,Mill Quality
22/08/2026,Wheat,1,Lucknow,FAQ,Lucknow APMC,2640.0,2640,2640.0,Uttar Pradesh,Medium
