time,precipitation_sum,temperature_2m_max
2022-11-07,0.1,29.0
2022-11-08,0.0,29.4
2022-11-09,0.3,28.9
2022-11-10,0.0,28.0
2022-11-11,0.0,28.0
2022-11-12,0.0,26.8
2022-11-13,0.0,26.6
2022-11-14,0.0,27.1
2022-11-15,0.0,27.7
2022-11-16,0.0,28.0
2022-11-17,0.0,25.3
2022-11-18,0.0,24.7
2022-11-19,0.0,24.6
2022-11-20,0.0,26.4
2022-11-21,0.0,26.3
2022-11-22,0.0,26.3
2022-11-23,0.0,25.9
2022-11-24,0.0,25.4
2022-11-25,0.0,25.7
2022-11-26,0.0,25.7
2022-11-27,0.0,26.2
2022-11-28,0.0,26.0
2022-11-29,0.0,26.1
2022-11-30,0.0,25.1
2022-12-01,0.0,24.3
2022-12-02,0.0,24.3
2022-12-03,0.0,24.5
2022-12-04,0.0,24.3
2022-12-05,0.0,23.6
2022-12-06,0.0,23.4
2022-12-07,0.0,23.2
2022-12-08,0.0,23.0
2022-12-09,0.0,23.5
2022-12-10,0.0,25.3
2022-12-11,0.0,26.7
2022-12-12,0.0,26.9
2022-12-13,0.0,25.9
2022-12-14,0.0,24.0
2022-12-15,0.0,22.0
2022-12-16,0.0,22.7
2022-12-17,0.0,22.6
2022-12-18,0.0,22.8
2022-12-19,0.0,23.3
2022-12-20,0.0,23.2
2022-12-21,0.0,22.8
2022-12-22,0.0,23.5
2022-12-23,0.0,24.3
2022-12-24,1.4,23.5
2022-12-25,0.0,22.3
2022-12-26,0.0,21.0
2022-12-27,0.0,21.1
2022-12-28,0.0,20.3
2022-12-29,0.0,19.9
2022-12-30,0.0,21.3
2022-12-31,0.0,21.4
2023-01-01,0.0,20.6
2023-01-02,0.0,19.4
2023-01-03,0.0,19.1
2023-01-04,0.0,17.7
2023-01-05,0.0,17.0
2023-01-06,0.0,16.0
2023-01-07,0.0,17.3
2023-01-08,0.0,18.0
2023-01-09,0.0,18.5
2023-01-10,0.0,20.2
2023-01-11,0.0,19.4
2023-01-12,0.0,19.8
2023-01-13,5.1,20.9
2023-01-14,0.0,21.2
2023-01-15,0.0,16.9
2023-01-16,0.0,16.4
2023-01-17,0.0,17.2
2023-01-18,0.0,17.7
2023-01-19,0.0,18.8
2023-01-20,0.1,20.6
2023-01-21,0.0,22.5
2023-01-22,0.0,21.4
2023-01-23,0.0,23.2
2023-01-24,0.0,24.5
2023-01-25,9.0,22.4
2023-01-26,0.0,23.6
2023-01-27,0.0,21.6
2023-01-28,0.0,21.1
2023-01-29,0.0,21.6
2023-01-30,0.0,23.0
2023-01-31,0.0,23.2
2023-02-01,0.0,21.5
2023-02-02,0.0,21.3
2023-02-03,0.0,22.4
2023-02-04,0.0,23.8
2023-02-05,0.0,24.2
2023-02-06,0.0,25.2
2023-02-07,0.0,26.7
2023-02-08,0.0,24.0
2023-02-09,0.0,25.2
2023-02-10,0.0,27.6
2023-02-11,0.0,29.2
2023-02-12,0.0,25.1
2023-02-13,0.0,22.0
2023-02-14,0.0,22.7
2023-02-15,0.0,24.5
2023-02-16,0.0,26.1
2023-02-17,0.0,27.3
2023-02-18,0.0,27.6
2023-02-19,0.0,28.6
2023-02-20,0.0,30.9
2023-02-21,0.0,31.0
2023-02-22,0.0,31.9
2023-02-23,0.0,31.0
2023-02-24,0.0,29.6
2023-02-25,0.0,29.7
2023-02-26,0.0,30.8
2023-02-27,0.0,31.2
2023-02-28,0.0,32.0
2023-03-01,0.0,32.0
2023-03-02,0.0,32.7
2023-03-03,0.0,33.1
2023-03-04,0.0,32.9
2023-03-05,0.0,32.6
2023-03-06,0.0,31.4
2023-03-07,0.0,31.8
2023-03-08,3.2,30.8
2023-03-09,2.6,30.0
2023-03-10,0.0,30.3
2023-03-11,0.0,31.1
2023-03-12,0.0,31.2
2023-03-13,0.0,32.6
2023-03-14,0.0,33.3
2023-03-15,0.0,33.6
2023-03-16,0.0,33.0
2023-03-17,0.3,31.0
2023-03-18,5.7,28.4
2023-03-19,2.4,29.4
2023-03-20,13.6,24.9
2023-03-21,24.5,25.0
2023-03-22,0.0,26.8
2023-03-23,0.0,29.3
2023-03-24,0.0,31.2
2023-03-25,0.8,30.3
2023-03-26,0.0,31.3
2023-03-27,0.0,31.3
2023-03-28,0.0,31.7
2023-03-29,0.0,33.4
2023-03-30,0.2,34.5
2023-03-31,8.7,30.7
2023-04-01,2.6,27.9
2023-04-02,0.0,30.1
2023-04-03,0.0,33.5
2023-04-04,0.4,33.2
2023-04-05,0.0,33.5
2023-04-06,0.0,34.1
2023-04-07,0.0,34.9
2023-04-08,0.0,35.4
2023-04-09,0.0,36.4
2023-04-10,0.0,36.0
2023-04-11,0.0,36.7
2023-04-12,0.0,38.8
2023-04-13,0.0,39.2
2023-04-14,0.0,39.6
2023-04-15,0.0,39.6
2023-04-16,0.0,41.4
2023-04-17,0.0,41.7
2023-04-18,0.0,42.0
2023-04-19,0.0,42.1
2023-04-20,0.0,40.3
2023-04-21,0.0,35.3
2023-04-22,0.0,36.3
2023-04-23,0.0,35.0
2023-04-24,3.4,30.0
2023-04-25,0.0,32.9
2023-04-26,0.0,34.3
2023-04-27,0.0,36.0
2023-04-28,0.0,36.7
2023-04-29,0.0,35.0
2023-04-30,13.5,29.8
2023-05-01,5.3,27.3
2023-05-02,0.6,29.4
2023-05-03,7.5,29.5
2023-05-04,0.1,29.4
2023-05-05,0.0,32.6
2023-05-06,0.0,35.4
2023-05-07,0.0,36.9
2023-05-08,0.0,35.9
2023-05-09,0.0,38.9
2023-05-10,0.0,37.2
2023-05-11,0.0,38.1
2023-05-12,0.0,38.8
2023-05-13,0.0,38.9
2023-05-14,0.0,41.5
2023-05-15,0.0,40.5
2023-05-16,0.0,40.6
2023-05-17,0.0,41.6
2023-05-18,0.0,41.1
2023-05-19,0.0,40.7
2023-05-20,0.0,41.4
2023-05-21,0.0,43.9
2023-05-22,0.5,42.6
2023-05-23,0.0,43.0
2023-05-24,0.0,38.9
2023-05-25,3.5,32.5
2023-05-26,12.5,31.1
2023-05-27,0.1,35.4
2023-05-28,0.0,34.8
2023-05-29,0.0,35.9
2023-05-30,1.5,37.5
2023-05-31,0.0,36.9
2023-06-01,0.0,37.3
2023-06-02,0.0,37.4
2023-06-03,0.0,38.6
2023-06-04,0.0,40.1
2023-06-05,0.3,36.8
2023-06-06,0.3,38.7
2023-06-07,0.0,40.6
2023-06-08,0.0,41.6
2023-06-09,0.0,41.4
2023-06-10,0.0,42.1
2023-06-11,0.0,42.1
2023-06-12,0.0,41.5
2023-06-13,0.0,42.6
2023-06-14,0.0,42.2
2023-06-15,0.0,40.6
2023-06-16,0.0,41.9
2023-06-17,0.2,41.5
2023-06-18,0.0,42.1
2023-06-19,0.0,41.3
2023-06-20,6.3,36.0
2023-06-21,11.9,32.0
2023-06-22,11.3,35.9
2023-06-23,1.1,36.3
2023-06-24,16.7,35.5
2023-06-25,5.2,35.0
2023-06-26,18.2,35.0
2023-06-27,0.2,36.0
2023-06-28,1.2,33.8
2023-06-29,7.9,32.0
2023-06-30,28.9,30.8
2023-07-01,39.4,31.6
2023-07-02,13.2,31.7
2023-07-03,2.7,33.0
2023-07-04,3.4,32.8
2023-07-05,25.1,32.0
2023-07-06,8.3,32.6
2023-07-07,9.5,33.3
2023-07-08,16.1,33.1
2023-07-09,28.0,32.9
2023-07-10,33.3,33.8
2023-07-11,2.7,33.6
2023-07-12,34.6,32.3
2023-07-13,36.8,32.6
2023-07-14,21.4,32.5
2023-07-15,31.4,32.1
2023-07-16,2.1,33.3
2023-07-17,1.3,33.4
2023-07-18,3.2,33.3
2023-07-19,1.1,34.2
2023-07-20,0.0,35.4
2023-07-21,0.1,35.7
2023-07-22,2.1,34.3
2023-07-23,0.5,34.3
2023-07-24,27.8,34.2
2023-07-25,15.8,33.0
2023-07-26,1.1,34.1
2023-07-27,6.1,34.5
2023-07-28,2.5,33.9
2023-07-29,27.7,32.8
2023-07-30,1.4,32.8
2023-07-31,3.6,33.5
2023-08-01,15.9,33.3
2023-08-02,10.9,32.6
2023-08-03,4.5,32.2
2023-08-04,16.0,31.7
2023-08-05,1.4,33.2
2023-08-06,13.1,32.0
2023-08-07,2.5,32.9
2023-08-08,0.9,33.2
2023-08-09,4.3,31.0
2023-08-10,0.1,31.6
2023-08-11,0.0,33.6
2023-08-12,0.0,34.1
2023-08-13,1.1,31.7
2023-08-14,1.3,31.8
2023-08-15,1.2,33.0
2023-08-16,0.5,34.3
2023-08-17,5.8,33.6
2023-08-18,9.3,33.7
2023-08-19,4.4,33.7
2023-08-20,0.4,34.1
2023-08-21,0.4,33.8
2023-08-22,19.7,30.3
2023-08-23,7.0,31.9
2023-08-24,37.4,29.9
2023-08-25,2.2,33.3
2023-08-26,0.0,33.3
2023-08-27,0.0,33.7
2023-08-28,1.0,32.5
2023-08-29,8.7,32.9
2023-08-30,0.2,33.8
2023-08-31,0.2,34.7
2023-09-01,0.1,35.0
2023-09-02,0.0,35.8
2023-09-03,0.0,35.9
2023-09-04,0.0,34.5
2023-09-05,2.8,32.7
2023-09-06,0.0,32.6
2023-09-07,5.2,31.7
2023-09-08,8.3,32.7
2023-09-09,28.1,30.3
2023-09-10,36.0,29.7
2023-09-11,32.9,30.3
2023-09-12,10.4,31.1
2023-09-13,0.6,33.0
2023-09-14,3.1,33.6
2023-09-15,0.1,33.3
2023-09-16,3.1,31.6
2023-09-17,0.4,32.5
2023-09-18,5.6,32.3
2023-09-19,7.3,32.6
2023-09-20,0.2,32.7
2023-09-21,1.1,32.3
2023-09-22,2.5,31.2
2023-09-23,0.5,31.2
2023-09-24,1.5,32.1
2023-09-25,0.0,31.2
2023-09-26,0.2,31.7
2023-09-27,0.0,33.0
2023-09-28,4.2,33.1
2023-09-29,0.0,34.1
2023-09-30,0.0,33.8
2023-10-01,0.0,33.2
2023-10-02,19.1,30.9
2023-10-03,0.5,32.2
2023-10-04,1.3,31.4
2023-10-05,0.0,31.5
2023-10-06,0.0,33.0
2023-10-07,0.0,33.2
2023-10-08,0.0,34.9
2023-10-09,0.0,35.2
2023-10-10,0.0,35.4
2023-10-11,0.0,34.7
2023-10-12,0.0,34.0
2023-10-13,0.0,33.5
2023-10-14,0.0,34.6
2023-10-15,0.0,35.4
2023-10-16,6.7,33.7
2023-10-17,0.0,29.7
2023-10-18,0.0,30.5
2023-10-19,0.0,30.5
2023-10-20,0.0,30.1
2023-10-21,0.0,30.4
2023-10-22,0.0,30.5
2023-10-23,0.0,31.1
2023-10-24,0.0,30.4
2023-10-25,0.0,30.4
2023-10-26,0.0,31.3
2023-10-27,0.0,31.4
2023-10-28,0.0,31.2
2023-10-29,0.0,30.6
2023-10-30,0.0,30.4
2023-10-31,0.0,30.3
2023-11-01,0.0,30.5
2023-11-02,0.0,30.1
2023-11-03,0.0,30.2
2023-11-04,0.0,30.4
2023-11-05,0.0,30.2
2023-11-06,0.0,30.1
2023-11-07,0.0,29.7
2023-11-08,0.0,30.4
2023-11-09,0.0,31.0
2023-11-10,0.5,29.6
2023-11-11,1.8,27.1
2023-11-12,0.0,27.7
2023-11-13,0.0,27.6
2023-11-14,0.0,27.0
2023-11-15,0.0,27.3
2023-11-16,0.0,27.5
2023-11-17,0.0,27.9
2023-11-18,0.0,27.7
2023-11-19,0.0,28.2
2023-11-20,0.0,27.8
2023-11-21,0.0,26.9
2023-11-22,0.0,26.2
2023-11-23,0.0,25.7
2023-11-24,0.0,26.3
2023-11-25,0.0,26.6
2023-11-26,0.0,27.2
2023-11-27,0.1,23.4
2023-11-28,0.0,26.7
2023-11-29,0.0,26.9
2023-11-30,3.0,24.7
2023-12-01,0.0,26.0
2023-12-02,0.0,26.7
2023-12-03,0.0,28.1
2023-12-04,9.1,23.1
2023-12-05,1.1,22.3
2023-12-06,0.0,26.0
2023-12-07,0.0,25.5
2023-12-08,0.0,25.4
2023-12-09,0.0,24.2
2023-12-10,0.0,23.2
2023-12-11,0.0,22.7
2023-12-12,0.0,22.6
2023-12-13,0.0,23.0
2023-12-14,0.0,23.3
2023-12-15,0.0,22.7
2023-12-16,0.0,22.8
2023-12-17,0.0,22.3
2023-12-18,0.0,22.1
2023-12-19,0.0,21.6
2023-12-20,0.0,21.6
2023-12-21,0.0,21.1
2023-12-22,0.0,21.7
2023-12-23,0.0,23.3
2023-12-24,0.0,24.4
2023-12-25,0.0,23.8
2023-12-26,0.0,23.8
2023-12-27,0.0,23.4
2023-12-28,0.0,22.0
2023-12-29,0.0,21.7
2023-12-30,0.0,20.8
2023-12-31,0.0,19.4
2024-01-01,0.0,20.5
2024-01-02,0.0,19.1
2024-01-03,0.3,19.5
2024-01-04,9.9,21.1
2024-01-05,0.0,21.2
2024-01-06,2.2,20.2
2024-01-07,0.0,20.5
2024-01-08,0.0,20.4
2024-01-09,1.2,21.3
2024-01-10,0.0,19.7
2024-01-11,0.0,18.6
2024-01-12,0.0,17.8
2024-01-13,0.0,19.1
2024-01-14,0.0,19.4
2024-01-15,0.0,18.4
2024-01-16,0.0,18.1
2024-01-17,0.0,17.6
2024-01-18,0.0,17.2
2024-01-19,0.0,17.0
2024-01-20,0.0,17.4
2024-01-21,0.0,17.6
2024-01-22,0.0,17.5
2024-01-23,0.0,17.5
2024-01-24,0.0,18.4
2024-01-25,0.0,18.9
2024-01-26,0.0,19.1
2024-01-27,0.0,20.3
2024-01-28,0.0,20.8
2024-01-29,0.0,21.7
2024-01-30,0.0,21.8
2024-01-31,0.0,22.4
2024-02-01,0.3,21.9
2024-02-02,0.0,21.6
2024-02-03,0.0,22.8
2024-02-04,32.1,20.2
2024-02-05,8.4,20.7
2024-02-06,0.0,20.7
2024-02-07,0.0,20.7
2024-02-08,0.0,19.7
2024-02-09,0.0,20.1
2024-02-10,0.0,21.0
2024-02-11,0.0,21.9
2024-02-12,0.0,23.6
2024-02-13,0.2,24.8
2024-02-14,0.0,23.7
2024-02-15,0.0,24.9
2024-02-16,0.0,25.1
2024-02-17,0.0,24.4
2024-02-18,0.0,25.8
2024-02-19,0.0,26.9
2024-02-20,0.2,27.0
2024-02-21,1.7,26.3
2024-02-22,0.0,25.0
2024-02-23,0.0,24.8
2024-02-24,0.0,24.7
2024-02-25,0.0,25.5
2024-02-26,0.0,25.2
2024-02-27,0.0,26.1
2024-02-28,0.0,25.8
2024-02-29,0.0,26.7
2024-03-01,0.0,28.4
2024-03-02,5.3,24.7
2024-03-03,16.2,23.0
2024-03-04,5.6,25.1
2024-03-05,0.0,23.1
2024-03-06,0.0,23.4
2024-03-07,0.0,24.8
2024-03-08,0.0,26.6
2024-03-09,0.0,26.2
2024-03-10,0.0,26.2
2024-03-11,0.0,28.7
2024-03-12,0.0,31.2
2024-03-13,0.0,30.9
2024-03-14,0.0,31.0
2024-03-15,0.0,29.8
2024-03-16,0.0,28.8
2024-03-17,0.0,29.0
2024-03-18,0.0,28.1
2024-03-19,0.0,29.0
2024-03-20,0.0,30.5
2024-03-21,0.0,28.0
2024-03-22,0.0,30.3
2024-03-23,0.0,33.6
2024-03-24,0.0,33.9
2024-03-25,0.0,34.0
2024-03-26,0.0,33.7
2024-03-27,0.0,34.9
2024-03-28,0.0,35.0
2024-03-29,0.0,35.1
2024-03-30,0.3,37.8
2024-03-31,0.0,37.6
2024-04-01,0.0,35.0
2024-04-02,0.0,34.5
2024-04-03,0.0,36.4
2024-04-04,0.0,38.0
