time,precipitation_sum,temperature_2m_max
2026-08-09,2.6,32.9
2026-08-10,5.8,32.0
2026-08-11,6.9,33.3
2026-08-12,0.7,34.8
2026-08-13,2.0,33.6
2026-08-14,7.3,32.6
2026-08-15,7.8,33.7
2026-08-16,17.1,30.0
2026-08-17,17.2,29.3
2026-08-18,10.1,30.8
2026-08-19,6.9,32.2
2026-08-20,4.0,32.5
2026-08-21,9.4,33.4
2026-08-22,15.8,32.3
2026-08-23,5.5,32.3
2026-08-24,10.4,31.5
2026-08-25,28.5,29.7
2026-08-26,25.7,31.9
2026-08-27,21.8,31.8
2026-08-28,27.9,31.9
2026-08-29,9.4,32.6
2026-08-30,4.3,32.0
2026-08-31,14.7,31.5
2026-09-01,16.8,30.7
2026-09-02,32.0,29.4
2026-09-03,11.1,30.0
2026-09-04,7.6,31.0
